lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
JCHI-ADAR-MALS-JVIL-CKPE,Interval 2,2,2.06,2.18,-18.35,-48.54,-1
JCHI-ADAR-MALS-TWAL-ACOV,Interval 2,2,2.86,1.43,0.0,0.0,0
EVIL-ADAR-MALS-TWAL-ACOV,Interval 2,2,4.9,3.5,-22.86,-40.86,-2
JCHI-ATUH-MALS-JVIL-DMEN,Interval 2,2,9.83,6.67,0.0,0.0,0
EVIL-ATUH-KGAR-JVIL-CKPE,Interval 2,2,3.96,2.43,-65.84,-100.88,-4
JCHI-ATUH-MALS-TWAL-ACOV,Interval 2,2,1.4,0.75,0.0,0.0,0
EVIL-ATUH-KGAR-DMEN-TWAL,Interval 2,2,1.9,0.8,50.0,52.63,1
EVIL-KGAR-JVIL-DMEN-TWAL,Interval 2,2,10.45,5.49,14.57,19.14,2
EVIL-KGAR-MALS-DMEN-TWAL,Interval 2,2,4.6,2.16,18.52,21.74,1
JCHI-EVIL-MALS-JVIL-ACOV,Interval 2,2,4.4,2.65,-45.28,-68.18,-3
JCHI-EVIL-KGAR-JVIL-ACOV,Interval 2,2,2.66,1.19,67.23,75.05,2
JCHI-ADAR-MALS-CABR-DMEN,Interval 2,2,6.36,3.58,-22.35,-31.45,-2
ATUH-JVIL-DMEN-TWAL-ACOV,Interval 2,2,1.5,1.18,101.69,200.0,3
JCHI-ADAR-KGAR-MALS-CKPE,Interval 2,2,2.4,1.8,0.0,0.0,0
EVIL-ATUH-MALS-JVIL-DMEN,Interval 2,2,4.43,1.85,0.0,0.0,0
EVIL-JVIL-DMEN-TWAL-ACOV,Interval 2,2,6.1,4.08,-9.8,-16.4,-1
EVIL-ATUH-MALS-TWAL-ACOV,Interval 2,2,18.57,10.32,15.5,21.54,4
JCHI-EVIL-JVIL-TWAL-ACOV,Interval 2,2,14.49,8.71,22.96,34.5,5
EVIL-ATUH-CABR-TWAL-CKPE,Interval 2,2,53.01,31.66,8.84,13.21,7
EVIL-KGAR-JVIL-TWAL-CKPE,Interval 2,2,7.72,4.68,76.92,116.5,9
JCHI-KGAR-MALS-JVIL-CKPE,Interval 2,2,3.96,3.0,66.67,126.1,5
ATUH-KGAR-JVIL-TWAL-CKPE,Interval 2,2,6.16,3.35,47.76,64.88,4
EVIL-ATUH-CABR-DMEN-TWAL,Interval 2,2,21.58,12.49,38.43,55.59,12
JCHI-ADAR-KGAR-JVIL-DMEN,Interval 2,2,4.5,2.13,112.68,133.39,6
EVIL-ATUH-CABR-JVIL-TWAL,Interval 2,2,8.36,5.18,-15.44,-23.92,-2
EVIL-MALS-JVIL-DMEN-TWAL,Interval 2,2,11.26,7.2,33.33,53.29,6
EVIL-ATUH-MALS-CABR-ACOV,Interval 2,2,7.56,4.53,8.83,13.22,1
EVIL-ATUH-MALS-DMEN-TWAL,Interval 2,2,12.33,7.95,5.03,8.11,1
EVIL-ATUH-JVIL-TWAL-ACOV,Interval 3,3,74.07,42.96,-4.66,-6.75,-5
EVIL-ATUH-JVIL-DMEN-ACOV,Interval 3,3,2.8,1.73,0.0,0.0,0
EVIL-MALS-DMEN-TWAL-CKPE,Interval 3,3,10.86,7.64,-10.47,-18.42,-2
EVIL-KGAR-CABR-TWAL-ACOV,Interval 3,3,1.96,1.4,-114.29,-203.56,-4
EVIL-ATUH-DMEN-TWAL-CKPE,Interval 3,3,11.83,7.6,47.37,76.08,9
EVIL-KGAR-MALS-DMEN-CKPE,Interval 3,3,5.94,2.65,-120.75,-134.59,-8
EVIL-CABR-JVIL-DMEN-CKPE,Interval 3,3,1.9,0.81,-49.38,-52.63,-1
EVIL-ATUH-CABR-TWAL-ACOV,Interval 3,3,14.33,6.79,0.0,0.0,0
EVIL-KGAR-CABR-DMEN-CKPE,Interval 3,3,11.53,5.81,20.65,26.02,3
EVIL-ATUH-CABR-JVIL-TWAL,Interval 3,3,10.03,5.49,-7.29,-9.97,-1
EVIL-ATUH-CABR-TWAL-CKPE,Interval 3,3,19.22,12.02,-3.33,-5.2,-1
JCHI-ADAR-KGAR-MALS-JVIL,Interval 3,3,4.89,2.19,-109.59,-122.57,-6
JCHI-ATUH-ADAR-KGAR-MALS,Interval 3,3,1.2,0.78,-102.56,-166.67,-2
EVIL-KGAR-CABR-DMEN-TWAL,Interval 3,3,16.65,10.58,15.12,24.03,4
EVIL-KGAR-CABR-TWAL-CKPE,Interval 3,3,3.76,3.25,-36.92,-79.79,-3
JCHI-EVIL-KGAR-MALS-JVIL,Interval 3,3,0.4,0.0,inf,500.0,2
JCHI-EVIL-KGAR-DMEN-TWAL,Interval 3,3,2.73,0.5,160.0,73.21,2
JCHI-EVIL-KGAR-MALS-DMEN,Interval 3,3,1.23,0.58,-68.97,-81.3,-1
JCHI-ADAR-MALS-CABR-JVIL,Interval 3,3,0.9,0.13,-615.38,-222.22,-2
ATUH-KGAR-CABR-DMEN-TWAL,Interval 3,3,4.53,2.87,-41.81,-66.23,-3
ATUH-KGAR-CABR-JVIL-CKPE,Interval 3,3,2.0,1.08,-74.07,-100.0,-2
ATUH-MALS-CABR-TWAL-CKPE,Interval 3,3,2.4,1.28,-62.5,-83.33,-2
ATUH-KGAR-MALS-TWAL-CKPE,Interval 3,3,2.93,2.4,-33.33,-68.26,-2
EVIL-ATUH-KGAR-TWAL-CKPE,Interval 3,3,3.0,1.63,-49.08,-66.67,-2
EVIL-MALS-JVIL-TWAL-ACOV,Interval 3,3,0.4,0.0,inf,500.0,2
EVIL-KGAR-JVIL-DMEN-ACOV,Interval 3,3,0.4,0.0,inf,500.0,2
ATUH-KGAR-MALS-JVIL-ACOV,Interval 3,3,2.46,1.35,-59.26,-81.14,-2
JCHI-ATUH-MALS-DMEN-CKPE,Interval 3,3,4.36,3.35,-47.76,-91.64,-4
ATUH-KGAR-DMEN-TWAL-CKPE,Interval 3,3,0.2,0.0,-inf,-500.0,-1
ATUH-JVIL-DMEN-TWAL-ACOV,Interval 3,3,1.96,0.92,-86.96,-101.78,-2
ATUH-CABR-JVIL-TWAL-ACOV,Interval 3,3,2.94,1.25,32.0,33.97,1
ATUH-KGAR-CABR-TWAL-CKPE,Interval 3,3,6.53,3.52,-11.36,-15.32,-1
ATUH-KGAR-JVIL-TWAL-CKPE,Interval 3,3,0.5,0.05,0.0,0.0,0
EVIL-MALS-CABR-JVIL-DMEN,Interval 3,3,1.5,1.32,-151.52,-333.33,-5
EVIL-ATUH-MALS-DMEN-CKPE,Interval 3,3,0.4,0.0,inf,250.0,1
ATUH-CABR-JVIL-DMEN-TWAL,Interval 3,3,2.43,1.35,-59.26,-82.3,-2
EVIL-ATUH-CABR-UNK-UNK,Interval 3,3,0.2,0.0,inf,500.0,1
EVIL-KGAR-JVIL-TWAL-ACOV,Interval 3,3,0.0,0.2,0.0,,0
JCHI-EVIL-MALS-DMEN-TWAL,Interval 3,3,2.46,1.65,-96.97,-162.27,-4
ATUH-MALS-JVIL-DMEN-CKPE,Interval 3,3,2.96,2.05,-58.54,-101.18,-3
ATUH-KGAR-MALS-JVIL-DMEN,Interval 3,3,1.5,0.59,0.0,0.0,0
JCHI-EVIL-ATUH-MALS-JVIL,Interval 3,3,1.8,0.18,222.22,55.56,1
EVIL-ATUH-MALS-CABR-UNK,Interval 3,3,0.2,0.0,inf,500.0,1
JCHI-EVIL-ATUH-JVIL-DMEN,Interval 3,3,0.86,0.32,-250.0,-231.21,-2
ATUH-CABR-DMEN-TWAL-CKPE,Interval 3,3,2.43,1.65,-121.21,-205.76,-5
EVIL-ATUH-MALS-TWAL-CKPE,Interval 3,3,10.06,5.63,-14.21,-19.87,-2
EVIL-KGAR-MALS-CABR-ACOV,Interval 3,3,1.2,0.77,51.95,83.33,1
EVIL-ATUH-JVIL-TWAL-CKPE,Interval 3,3,67.73,41.86,-9.56,-14.76,-10
EVIL-ATUH-MALS-DMEN-TWAL,Interval 3,3,18.16,12.34,35.66,60.59,11
EVIL-KGAR-MALS-CABR-DMEN,Interval 3,3,4.03,1.72,-46.51,-49.63,-2
EVIL-CABR-JVIL-DMEN-TWAL,Interval 3,3,7.3,3.98,-40.2,-54.83,-4
JCHI-ADAR-KGAR-DMEN-CKPE,Interval 3,3,3.66,2.17,-18.43,-27.29,-1
ATUH-MALS-DMEN-TWAL-CKPE,Interval 3,3,6.8,4.29,111.89,176.6,12
EVIL-ATUH-KGAR-TWAL-ACOV,Interval 3,3,0.96,0.83,0.0,0.0,0
ATUH-MALS-CABR-DMEN-CKPE,Interval 3,3,5.9,3.76,-21.28,-33.9,-2
EVIL-KGAR-MALS-CABR-TWAL,Interval 3,3,1.96,1.28,-62.5,-101.78,-2
JCHI-KGAR-MALS-TWAL-CKPE,Interval 3,3,1.5,1.1,-36.36,-66.67,-1
JCHI-KGAR-JVIL-TWAL-CKPE,Interval 3,3,2.0,1.12,0.0,0.0,0
JCHI-EVIL-JVIL-DMEN-TWAL,Interval 3,3,1.0,0.33,363.64,300.0,3
