combo_string,interval_num,minutes,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40,combo_size,interval_len,interval_start,interval_end,player1,player2,player3
JL-MH-CH,2,46.291,0.8640988529087729,-1.9051958231222126,-2.0404901221519367,-3.694334526093982,1.6538444039420455,81,80,73.82000000000001,78.253,1,109.72636141966944,102.23250226828364,7.493859151385806,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,MH,CH
AM-IK-MH,2,42.510999999999996,18.818658700101153,16.04936402407017,17.432114866447364,-10.59523934983359,28.027354216280955,87,67,67.338,70.281,20,129.19896640826875,95.33159744454403,33.867368963724715,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,IK,MH
AM-AC-CH,2,40.758,0.0,-2.7692946760309853,-1.9411083876260449,7.807752168817856,-9.748860556443901,75,75,68.29,65.943,0,109.82574315419534,113.73458896319548,-3.908845809000141,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,AC,CH
JL-IK-MH,2,38.440999999999995,17.689446164251713,14.920151488220728,11.65477572486428,-9.956037090156471,21.61081281502075,78,61,63.198,63.561,17,123.42162726668566,95.97079970422115,27.45082756246451,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,IK,MH
AM-IK-CH,2,37.149,1.0767449998654068,-1.6925496761655785,-15.202320436900308,-17.645722028928432,2.443401592028124,52,51,53.85,57.77,1,96.56453110492107,88.28111476544919,8.283416339471884,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,IK,CH
JL-AM-IK,2,36.077999999999996,21.065469261045514,18.29617458501453,22.656014495180273,-8.592433351813455,31.248447846993727,76,57,56.538,58.561,19,134.42286603700165,97.33440344256417,37.08846259443749,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AM,IK
AM-ZO-CH,2,31.766000000000002,-25.184159163885916,-27.9534538399169,-9.066204908120355,25.67551070695619,-34.741715615076544,54,74,52.58,56.23,-20,102.70064663370103,131.6023475013338,-28.901700867632783,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,ZO,CH
AM-AC-PR,2,31.509,13.964264178488685,11.194969502457699,11.440581300028754,-3.879772688411947,15.3203539884407,61,50,49.51,48.997,11,123.20743284185014,102.04706410596567,21.16036873588446,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,AC,PR
IK-MH-CH,2,29.063,2.752640814781681,-0.016653861249304125,-11.557110222781546,-14.490619131576551,2.9335089087950053,43,41,42.910000000000004,44.84,2,100.20974131903984,91.43621766280107,8.773523656238766,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,IK,MH,CH
AM-AC-MH,2,28.468,16.861036953772658,14.091742277741673,6.303990963681926,-2.174077412479164,8.47806837616109,59,47,49.97,45.300000000000004,12,118.07084250550331,103.75275938189846,14.31808312360485,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,AC,MH
AM-MH-PR,2,26.89,37.18854592785422,34.41925125182323,27.926644493348505,-14.277576382595356,42.20422087594386,68,43,48.678,46.918,25,139.6934960351699,91.64926041178227,48.04423562338762,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,MH,PR
JL-IK-CH,2,25.813,10.847247510944099,8.077952834913113,-6.253794300987835,-16.68941115889899,10.435616857911157,40,33,37.910000000000004,36.980000000000004,7,105.51305724083355,89.23742563547863,16.275631605354917,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,IK,CH
AM-ZO-PR,2,25.546,9.394817192515463,6.6255225164844775,28.38154087367738,7.024970434538048,21.356570439139333,51,45,36.39,39.839999999999996,6,140.14839241549876,112.95180722891567,27.196585186583093,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,ZO,PR
JL-AM-PR,2,25.196,17.46308937926655,14.693794703235564,8.641222366843635,-4.352433543996696,12.993655910840332,55,44,45.678,43.318,11,120.40807390866502,101.57440325038093,18.833670658284092,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AM,PR
JL-AC-CH,2,24.891000000000002,-1.6070065485516853,-4.3763012245826705,-12.574233318061289,-2.20951364419966,-10.364719673861629,43,44,43.35,42.423,-1,99.19261822376009,103.71732315017796,-4.5247049264178685,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AC,CH
AC-MH-CH,2,24.782,1.6140747316600759,-1.1552199443709095,-12.321893169943493,-5.814806665423802,-6.507086504519691,43,42,43.24,41.953,1,99.44495837187789,100.11203012895382,-0.6670717570759308,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AC,MH,CH
JL-AC-MH,2,24.486,-1.6335865392469167,-4.402881215277902,-19.776723653107,-5.2074123339459675,-14.56931131916103,41,42,44.57,41.7,-1,91.99012788871438,100.71942446043165,-8.72929657171727,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AC,MH
AM-IK-PR,2,24.48,26.143790849673202,23.374496173642218,17.4447141122817,-20.478463777588175,37.923177889869876,53,37,41.018,43.301,16,129.21156565410308,85.44837301678945,43.76319263731364,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,IK,PR
AM-AC-ZO,2,24.107,1.6592690919649895,-1.1100255840659958,31.283080981795365,29.067971097626568,2.215109884168797,53,52,37.05,38.519999999999996,1,143.04993252361675,134.9948078920042,8.055124631612557,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,AC,ZO
AM-ZO-MH,2,23.891000000000002,3.348541291699803,0.5792466156688176,9.651312615536554,1.600044926052476,8.051267689484078,50,48,41.18,44.64,2,121.41816415735794,107.5268817204301,13.891282436927838,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,ZO,MH
