player1,player2,player3,minutes,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg
AC,KJ,PR,30.105,47,40,44.387,46.38,7,105.8868587649537,86.24407072013798,19.642788044815717,9.300780601229032,6.856322576462228,1.729378907090151,-14.419075719015083,16.148454626105234
JL,AM,KJ,29.966,54,62,48.485,51.92,-8,111.37465195421264,119.41448382126347,-8.039831867050836,-10.67876927184142,-13.123227296608224,7.217172096349088,18.751337382110407,-11.534165285761318
ZO,KJ,CH,29.261,55,53,53.285000000000004,48.19,2,103.21854180350942,109.98132392612577,-6.762782122616343,2.734014558627525,0.2895565338607202,-0.938938054354125,9.3181774869727,-10.257115541326826
JL,IK,KJ,27.743,38,43,37.275,47.195,-5,101.94500335345407,91.11134654094714,10.83365681250693,-7.209025700176621,-9.653483724943426,-2.21247650440948,-9.551799898205928,7.339323393796448
IK,ZO,KJ,25.625,41,25,42.910000000000004,37.92,16,95.54882311815427,65.92827004219409,29.62055307596019,24.975609756097562,22.53115173133076,-8.608656739709275,-34.73487639695898,26.126219657249706
ZO,PR,CH,25.273,40,48,37.59,36.92,-8,106.41127959563713,130.01083423618633,-23.5995546405492,-12.6617338661813,-15.106191890948105,2.2537997377735763,29.34768779703326,-27.093888059259683
AC,PR,CH,24.910999999999998,42,44,41.79,38.72,-2,100.50251256281406,113.63636363636364,-13.133851073549579,-3.2114327004134724,-5.655890725180277,-3.654967295049488,12.973217197210573,-16.62818449226006
JL,AM,ZO,24.226,52,58,44.127,46.300000000000004,-6,117.84168422961,125.26997840172784,-7.428294172117845,-9.906711797242632,-12.351169822009437,13.684204371746446,24.606831962574773,-10.922627590828327
AC,IK,KJ,22.58,36,39,35.43,35.93,-3,101.60880609652835,108.54439187308655,-6.935585776558199,-5.314437555358725,-7.75889558012553,-2.548673761335195,7.881245433933486,-10.429919195268681
JL,AC,ZO,22.483,41,42,39.133,35.06,-1,104.77090946260188,119.7946377638334,-15.023728301231529,-1.7791220032913757,-4.22358002805818,0.6134296047383287,19.13149132468034,-18.51806171994201
ZO,KJ,PR,21.86,26,27,30.267000000000003,32.58,-1,85.90213764165591,82.87292817679558,3.0292094648603296,-1.8298261665141813,-4.2742841912809855,-18.255342216207637,-17.790218262357484,-0.4651239538501528
AM,AC,IK,20.237,20,23,32.93,32.125,-3,60.734892195566346,71.59533073929961,-10.860438543733267,-5.929732667885557,-8.374190692652363,-43.422587662297204,-29.067815699853455,-14.354771962443749
